[18/9/2011] [4:23:8] Casa ID:2 vendida, Dono:caio_TwOPaCk, Tempo:10
[18/9/2011] [4:23:15] Casa ID:67 vendida, Dono:Ilde_Ykb, Tempo:10
[18/9/2011] [4:23:15] Casa ID:68 vendida, Dono:Maycon_Lipe, Tempo:10
[18/9/2011] [4:23:15] Casa ID:69 vendida, Dono:gabriel_vasquez, Tempo:11
[18/9/2011] [4:23:15] Casa ID:70 vendida, Dono:Ian_Luiz, Tempo:10
[18/9/2011] [4:23:15] Casa ID:71 vendida, Dono:Kakashi_LoL, Tempo:10
[18/9/2011] [4:23:16] Casa ID:73 vendida, Dono:daniel_ProD, Tempo:11
[18/9/2011] [4:23:16] Casa ID:81 vendida, Dono:Fabio_Krauss, Tempo:10
[18/9/2011] [4:23:16] Casa ID:83 vendida, Dono:Matheeus_cuunha, Tempo:10
[18/9/2011] [4:23:16] Casa ID:85 vendida, Dono:Erich_Dias, Tempo:10
[18/9/2011] [4:23:16] Casa ID:86 vendida, Dono:Mafagafo_Braga, Tempo:10
[18/9/2011] [4:23:16] Casa ID:87 vendida, Dono:Rafael_Lessa, Tempo:10
[18/9/2011] [4:23:17] Casa ID:88 vendida, Dono:LastFusion_byee, Tempo:10
[18/9/2011] [4:23:17] Casa ID:89 vendida, Dono:FODA_C_OS_BURGUESES, Tempo:10
[18/9/2011] [4:23:17] Casa ID:91 vendida, Dono:Costa_Fest, Tempo:10
[18/9/2011] [4:23:17] Casa ID:99 vendida, Dono:Tipo_HarD, Tempo:10
[18/9/2011] [4:23:17] Casa ID:102 vendida, Dono:StreeT_FeeT, Tempo:10
[18/9/2011] [4:23:17] Casa ID:103 vendida, Dono:win32_GTR, Tempo:10
[18/9/2011] [4:23:18] Casa ID:106 vendida, Dono:Impiedoso_xD, Tempo:10
[18/9/2011] [4:23:18] Casa ID:112 vendida, Dono:Odair_Delgado, Tempo:10
[18/9/2011] [4:23:18] Casa ID:113 vendida, Dono:paulo_ricardo, Tempo:11
[18/9/2011] [4:23:18] Casa ID:115 vendida, Dono:Lustro_Xd, Tempo:11
[18/9/2011] [4:23:18] Casa ID:116 vendida, Dono:Dion_Forzen, Tempo:10
[18/9/2011] [4:23:18] Casa ID:122 vendida, Dono:Vini_Street, Tempo:10
[18/9/2011] [4:23:19] Casa ID:123 vendida, Dono:Renan_Moura, Tempo:10
[18/9/2011] [4:23:19] Casa ID:124 vendida, Dono:Jack_spear, Tempo:10
[18/9/2011] [4:23:19] Casa ID:125 vendida, Dono:Gustavo_Oakley1, Tempo:10
[18/9/2011] [4:23:19] Casa ID:126 vendida, Dono:Rian_Gracie, Tempo:10
[18/9/2011] [4:23:19] Casa ID:127 vendida, Dono:Max_Wallker, Tempo:10
[18/9/2011] [4:23:19] Casa ID:130 vendida, Dono:Scott_Walker, Tempo:11
[18/9/2011] [4:23:20] Casa ID:133 vendida, Dono:Lost_Twister, Tempo:11
[18/9/2011] [4:23:20] Casa ID:134 vendida, Dono:_Azucrinaldo_, Tempo:12
[18/9/2011] [4:23:20] Casa ID:154 vendida, Dono:binladem_bin, Tempo:12
[18/9/2011] [4:23:20] Casa ID:155 vendida, Dono:Skunky_Dn, Tempo:10
[18/9/2011] [4:23:20] Casa ID:161 vendida, Dono:Matheus_henrique, Tempo:10
[18/9/2011] [4:23:20] Casa ID:165 vendida, Dono:Luan_ice1, Tempo:10
[18/9/2011] [4:23:21] Casa ID:166 vendida, Dono:Matheus_Assis, Tempo:11
[18/9/2011] [4:23:21] Casa ID:168 vendida, Dono:CTDS_Junim, Tempo:10
[18/9/2011] [4:23:21] Casa ID:169 vendida, Dono:LEO_SANTOS, Tempo:10
[18/9/2011] [4:23:21] Casa ID:171 vendida, Dono:Marlon_TR, Tempo:10
[18/9/2011] [4:23:21] Casa ID:172 vendida, Dono:LEO_SANTOS, Tempo:10
[18/9/2011] [4:23:21] Casa ID:173 vendida, Dono:SheikeS_kS, Tempo:11
[18/9/2011] [4:23:22] Casa ID:176 vendida, Dono:TunTun_RS, Tempo:12
[18/9/2011] [4:23:22] Casa ID:178 vendida, Dono:Joana_moreira, Tempo:10
[18/9/2011] [4:23:22] Casa ID:179 vendida, Dono:NESSINHA_PERNA, Tempo:10
[18/9/2011] [4:23:22] Casa ID:180 vendida, Dono:ZEU_PERNA, Tempo:11
[18/9/2011] [4:23:22] Casa ID:181 vendida, Dono:Jaredy_Mal, Tempo:10
[18/9/2011] [4:23:22] Casa ID:182 vendida, Dono:coca_cola, Tempo:10
[18/9/2011] [4:23:23] Casa ID:183 vendida, Dono:elisson_Sony, Tempo:10
[18/9/2011] [4:23:23] Casa ID:184 vendida, Dono:Alexande_Braaatz, Tempo:11
[18/9/2011] [4:23:23] Casa ID:186 vendida, Dono:Ana_Ropper, Tempo:10
[18/9/2011] [4:23:23] Casa ID:187 vendida, Dono:Yaan_dragonnet, Tempo:10
[18/9/2011] [4:23:23] Casa ID:188 vendida, Dono:Afonso_Campos, Tempo:10
[18/9/2011] [4:23:23] Casa ID:189 vendida, Dono:Arthur_matador, Tempo:10
[18/9/2011] [4:23:24] Casa ID:191 vendida, Dono:Dean_Winchester, Tempo:10
[18/9/2011] [4:23:24] Casa ID:192 vendida, Dono:Sucata_SJ, Tempo:10
[18/9/2011] [4:23:24] Casa ID:193 vendida, Dono:_BrunA_SouzA_, Tempo:10
[18/9/2011] [4:23:24] Casa ID:194 vendida, Dono:william_bolado, Tempo:10
[18/9/2011] [4:23:24] Casa ID:196 vendida, Dono:Kratos_GoD, Tempo:10
[18/9/2011] [4:23:24] Casa ID:197 vendida, Dono:Advaced_Striike, Tempo:12
[18/9/2011] [4:23:25] Casa ID:198 vendida, Dono:LucaaS_CreeW, Tempo:10
[18/9/2011] [4:23:25] Casa ID:199 vendida, Dono:Vinicius_Ribeiro, Tempo:10
[18/9/2011] [4:23:25] Casa ID:200 vendida, Dono:Bob_Marley, Tempo:12
[18/9/2011] [4:23:25] Casa ID:201 vendida, Dono:Daftpunkk_Punk, Tempo:10
[18/9/2011] [4:23:25] Casa ID:202 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:25] Casa ID:203 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:204 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:205 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:206 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:207 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:208 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:209 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:26] Casa ID:210 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:211 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:212 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:213 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:214 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:215 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:27] Casa ID:216 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:217 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:218 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:219 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:220 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:221 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:28] Casa ID:222 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:223 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:224 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:225 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:226 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:227 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:29] Casa ID:228 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:229 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:230 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:231 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:232 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:233 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:30] Casa ID:234 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:235 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:236 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:237 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:238 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:239 vendida, Dono:Teu_Hend, Tempo:11
[18/9/2011] [4:23:31] Casa ID:240 vendida, Dono:Teu_Hend, Tempo:11
[19/9/2011] [1:0:1] Casa ID:25 vendida, Dono:MarcoS_PaulO, Tempo:10
[19/9/2011] [1:0:2] Casa ID:82 vendida, Dono:Alexandre_Schwartz, Tempo:10
[19/9/2011] [1:0:2] Casa ID:93 vendida, Dono:manuel_siqueira, Tempo:10
[19/9/2011] [1:0:2] Casa ID:145 vendida, Dono:Ermac_TwOPaCk, Tempo:10
[2/11/2011] [17:34:38] Casa ID:1 vendida, Dono:Thiago_Street, Tempo:18
[4/11/2011] [15:31:31] Casa ID:1 vendida, Dono:Thiago_Street, Tempo:20
[13/12/2011] [5:22:27] Casa ID:6 vendida, Dono:Feliipe_Capone, Tempo:160
[13/12/2011] [5:22:27] Casa ID:23 vendida, Dono:Yuri_Ribeiro, Tempo:160
[13/12/2011] [5:22:27] Casa ID:24 vendida, Dono:Vinih_Pessoa, Tempo:160
[13/12/2011] [5:22:27] Casa ID:25 vendida, Dono:Vitinho_Twiiter, Tempo:160
[13/12/2011] [5:22:27] Casa ID:27 vendida, Dono:Bruk_Killer, Tempo:160
[13/12/2011] [5:22:27] Casa ID:28 vendida, Dono:Gabriel_Shift, Tempo:161
[13/12/2011] [5:22:27] Casa ID:29 vendida, Dono:The_Off, Tempo:160
[13/12/2011] [5:22:27] Casa ID:30 vendida, Dono:win32_GTR, Tempo:160
[13/12/2011] [5:22:27] Casa ID:33 vendida, Dono:Mike_StreeT, Tempo:160
[13/12/2011] [5:22:27] Casa ID:102 vendida, Dono:Freestyle_Street, Tempo:160
[13/12/2011] [5:32:52] Casa ID:6 vendida, Dono:Feliipe_Capone, Tempo:160
[13/12/2011] [5:32:52] Casa ID:23 vendida, Dono:Yuri_Ribeiro, Tempo:160
[13/12/2011] [5:32:52] Casa ID:24 vendida, Dono:Vinih_Pessoa, Tempo:160
[13/12/2011] [5:32:52] Casa ID:25 vendida, Dono:Vitinho_Twiiter, Tempo:160
[13/12/2011] [5:32:52] Casa ID:27 vendida, Dono:Bruk_Killer, Tempo:160
[13/12/2011] [5:32:52] Casa ID:28 vendida, Dono:Gabriel_Shift, Tempo:161
[13/12/2011] [5:32:52] Casa ID:29 vendida, Dono:The_Off, Tempo:160
[13/12/2011] [5:32:52] Casa ID:30 vendida, Dono:win32_GTR, Tempo:160
[13/12/2011] [5:32:52] Casa ID:33 vendida, Dono:Mike_StreeT, Tempo:160
[13/12/2011] [5:32:52] Casa ID:102 vendida, Dono:Freestyle_Street, Tempo:160
[13/12/2011] [5:32:52] Casa ID:121 vendida, Dono:Sucata_SJ, Tempo:160
[13/12/2011] [5:32:52] Casa ID:122 vendida, Dono:rafael_xd, Tempo:160
[13/12/2011] [5:32:52] Casa ID:123 vendida, Dono:D_Eagle, Tempo:160
[6/2/2012] [17:55:17] Casa ID:114 vendida, Dono:Alien_Halls, Tempo:10
[6/2/2012] [17:55:17] Casa ID:154 vendida, Dono:Panico_Halls, Tempo:10
